Index,Product,Platform,Title,Price,Rating,Country.of.origin,Stock,Units.Sold,Product.url
1,Amazon Echo Gen 3,Shopee,Amazon Echo Dot (3rd Gen) W/Alexa -(USA SET),53,NA,United States,100,119,https://shopee.sg/Amazon-Echo-Dot-(3rd-Gen)-W-Alexa-(USA-SET)-i.62409413.7151274710
2,Amazon Echo Gen 3,Shopee,Amazon Echo Dot 3rd Gen - Voice control your smart home with Alexa - Charcoal - Echo Dot Gen 3 - Echo Dot 3rd Generation,54.79,4.9,Thailand,5,105,https://shopee.sg/Amazon-Echo-Dot-3rd-Gen-Voice-control-your-smart-home-with-Alexa-Charcoal-Echo-Dot-Gen-3-Echo-Dot-3rd-Generation-i.1702198.1611250688
3,Amazon Echo Gen 3,Shopee,Amazon Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Echo Dot Plum - Echo Dot Gen 3,54.79,5,China,1,98,https://shopee.sg/Amazon-Echo-Dot-(3rd-Gen)-Voice-control-your-smart-home-with-Alexa-Echo-Dot-Plum-Echo-Dot-Gen-3-i.1702198.7207998624
4,Amazon Echo Gen 3,EZBUY,Amazon Echo Dot 3rd Gen Smart Speaker with Alexa (Charcoal/Sandstone/Heather Grey),54.98,5,Canada,NA,86,https://ezbuy.sg/product/200001338.html?keywords=Amazon%20echo%203rd%20gen&baseGpid=200001338&pl=1&ezspm=1.20000000.22.0.0
5,Amazon Echo Gen 3,Shopee,Amazon Echo dot 3rd gen (Plum),56.34,NA,China,1,101,https://shopee.sg/Amazon-Echo-dot-3rd-gen-(Plum)-i.273313997.3649446763
6,Amazon Echo Gen 3,Shopee,Echo Dot (3rd Gen) - Voice control your smart home with Alexa - Heather Gray - Echo Dot Gen 3 - Echo Dot 3rd Generation,60,NA,China,2,115,https://shopee.sg/Echo-Dot-(3rd-Gen)-Voice-control-your-smart-home-with-Alexa-Heather-Gray-Echo-Dot-Gen-3-Echo-Dot-3rd-Generation-i.1702198.2747159763
7,Amazon Echo Gen 3,Shopee,All-new Echo Dot (3rd Gen) - Smart speaker with Alexa,65,NA,Russia,15,76,https://shopee.sg/All-new-Echo-Dot-(3rd-Gen)-Smart-speaker-with-Alexa-i.111201354.1728792191
8,Amazon Echo Gen 3,Shopee,Amazon Echo Dot 3rd Gen Smart speaker with Alexa,65,NA,Mexico,15,67,https://shopee.sg/Amazon-Echo-Dot-3rd-Gen-Smart-speaker-with-Alexa-i.163791336.3642703802
9,Amazon Echo Gen 3,Shopee,Amazon Echo Dot 3rd Gen Smart Bluetooth speaker,69,NA,Mexico,4,107,https://shopee.sg/Amazon-Echo-Dot-3rd-Gen-Smart-Bluetooth-speaker-i.2135844.2038143829
10,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo Dot (3rd Gen) - Smart Speaker with Alexa - Heather Gray,89.2,0,United States,NA,95,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-HEATHER-GRAY/677438741
11,Amazon Echo Gen 3,QOO10,AmazonAmazon - Echo Dot (3rd Gen) - Smart Speaker with Alexa - Charcoal,89.23,0,Thailand,NA,92,https://www.qoo10.sg/item/AMAZON-AMAZON-ECHO-DOT-3RD-GEN-SMART-SPEAKER-WITH-ALEXA-CHARCOAL/676925036
